fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.39967,2e-05,0.00375,0.72853,0.00041,3.67587,0.2153,5.59968,0.36618,2.19517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36504,2e-05,0.00416,0.72937,0.00042,3.96792,0.21267,5.63479,0.32355,2.00332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47496,2e-05,0.00397,0.73166,0.00046,3.64183,0.2153,5.98835,0.29293,1.88785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43101,2e-05,0.00396,0.73154,0.00042,3.79422,0.21151,5.57958,0.32274,1.94476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3688,2e-05,0.00411,0.73154,0.00036,3.9316,0.26472,5.97767,0.3982,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37842,2e-05,0.00385,0.74466,0.00042,3.9405,0.20658,5.56973,0.33963,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48142,2e-05,0.00448,0.80196,0.00046,3.69816,0.22323,5.98835,0.32678,1.61898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47304,2e-05,0.00363,0.72927,0.00041,3.75641,0.22352,5.94624,0.33942,1.96231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44431,2e-05,0.00397,0.73164,0.00046,3.68868,0.21766,6.0054,0.29293,1.86607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44528,2e-05,0.00369,0.73955,0.00041,3.07638,0.22352,5.94624,0.35767,1.91272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32698,2e-05,0.00411,0.71273,0.00039,3.96777,0.22733,6.03856,0.3426,2.00791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32643,2e-05,0.00411,0.73506,0.00043,3.88792,0.2153,5.74192,0.33423,1.98713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33522,2e-05,0.00483,0.79953,0.00046,3.55672,0.21423,5.98835,0.32678,1.61898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.50021,2e-05,0.00352,0.72268,0.00041,3.85334,0.21973,5.87081,0.34578,1.99293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
